LeftController  ;
timestamp;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
11.74 ;-0.1389992 ;1.237668 ;-3.806401 ;-0.1389992 ;1.237668 ;0.4035986 ;0.01154083 ;-0.02822918 ;-0.4711547 ;0.8815232 ;0.01154083 ;-0.02822918 ;-0.4711547 ;0.8815232 ;
11.76 ;-0.1390266 ;1.237427 ;-3.806371 ;-0.1390266 ;1.237427 ;0.4036289 ;0.01147068 ;-0.02821954 ;-0.4715694 ;0.8813027 ;0.01147068 ;-0.02821954 ;-0.4715694 ;0.8813027 ;
11.78 ;-0.1390267 ;1.237428 ;-3.806371 ;-0.1390267 ;1.237428 ;0.4036286 ;0.01147042 ;-0.02821937 ;-0.4715699 ;0.8813024 ;0.01147042 ;-0.02821937 ;-0.4715699 ;0.8813024 ;
11.8 ;-0.1389999 ;1.237417 ;-3.806372 ;-0.1389999 ;1.237417 ;0.4036284 ;0.01131404 ;-0.02803763 ;-0.4717023 ;0.8812394 ;0.01131404 ;-0.02803763 ;-0.4717023 ;0.8812394 ;
11.82 ;-0.1387909 ;1.23763 ;-3.806345 ;-0.1387909 ;1.23763 ;0.4036546 ;0.01035163 ;-0.02771121 ;-0.4728034 ;0.8806713 ;0.01035163 ;-0.02771121 ;-0.4728034 ;0.8806713 ;
11.84 ;-0.1387701 ;1.237779 ;-3.806362 ;-0.1387701 ;1.237779 ;0.4036384 ;0.009739435 ;-0.02765333 ;-0.4731568 ;0.8804902 ;0.009739435 ;-0.02765333 ;-0.4731568 ;0.8804902 ;
11.86 ;-0.1389227 ;1.238012 ;-3.806419 ;-0.1389227 ;1.238012 ;0.4035806 ;0.008895789 ;-0.02928007 ;-0.4745856 ;0.8796772 ;0.008895789 ;-0.02928007 ;-0.4745856 ;0.8796772 ;
11.88 ;-0.1389227 ;1.238012 ;-3.806419 ;-0.1389227 ;1.238012 ;0.4035807 ;0.00889591 ;-0.02927999 ;-0.4745854 ;0.8796774 ;0.00889591 ;-0.02927999 ;-0.4745854 ;0.8796774 ;
11.9 ;-0.138945 ;1.238879 ;-3.806563 ;-0.138945 ;1.238879 ;0.4034373 ;0.006714753 ;-0.02892731 ;-0.4767983 ;0.878511 ;0.006714753 ;-0.02892731 ;-0.4767983 ;0.878511 ;
11.92 ;-0.1388166 ;1.238653 ;-3.806512 ;-0.1388166 ;1.238653 ;0.403488 ;0.008133831 ;-0.02840773 ;-0.4752413 ;0.8793592 ;0.008133831 ;-0.02840773 ;-0.4752413 ;0.8793592 ;
11.94 ;-0.1386286 ;1.238454 ;-3.806524 ;-0.1386286 ;1.238454 ;0.4034761 ;0.008339298 ;-0.02765463 ;-0.4757934 ;0.8790827 ;0.008339298 ;-0.02765463 ;-0.4757934 ;0.8790827 ;
11.96 ;-0.1384312 ;1.23851 ;-3.8064 ;-0.1384312 ;1.23851 ;0.4036004 ;0.008666729 ;-0.02680609 ;-0.4750666 ;0.8794987 ;0.008666729 ;-0.02680609 ;-0.4750666 ;0.8794987 ;
11.98 ;-0.1384143 ;1.238578 ;-3.806379 ;-0.1384143 ;1.238578 ;0.4036212 ;0.00892044 ;-0.02659372 ;-0.4745152 ;0.8798003 ;0.00892044 ;-0.02659372 ;-0.4745152 ;0.8798003 ;
12 ;-0.1380975 ;1.238878 ;-3.806482 ;-0.1380975 ;1.238878 ;0.4035177 ;0.0091139 ;-0.02700496 ;-0.4724697 ;0.880886 ;0.0091139 ;-0.02700496 ;-0.4724697 ;0.880886 ;
12.02 ;-0.137779 ;1.238857 ;-3.806624 ;-0.137779 ;1.238857 ;0.403376 ;0.008164809 ;-0.02673975 ;-0.4719441 ;0.8811851 ;0.008164809 ;-0.02673975 ;-0.4719441 ;0.8811851 ;
12.04 ;-0.1375097 ;1.23905 ;-3.806655 ;-0.1375097 ;1.23905 ;0.4033449 ;0.007403241 ;-0.02662042 ;-0.4722076 ;0.8810542 ;0.007403241 ;-0.02662042 ;-0.4722076 ;0.8810542 ;
12.06 ;-0.1372544 ;1.239216 ;-3.806557 ;-0.1372544 ;1.239216 ;0.4034434 ;0.006971789 ;-0.02589529 ;-0.4713789 ;0.881523 ;0.006971789 ;-0.02589529 ;-0.4713789 ;0.881523 ;
12.08 ;-0.1369363 ;1.239516 ;-3.806487 ;-0.1369363 ;1.239516 ;0.4035135 ;0.005656407 ;-0.02593798 ;-0.4712291 ;0.8816112 ;0.005656407 ;-0.02593798 ;-0.4712291 ;0.8816112 ;
12.1 ;-0.1369359 ;1.239516 ;-3.806487 ;-0.1369359 ;1.239516 ;0.4035136 ;0.005655112 ;-0.02593747 ;-0.4712284 ;0.8816116 ;0.005655112 ;-0.02593747 ;-0.4712284 ;0.8816116 ;
12.12 ;-0.1349805 ;1.241347 ;-3.805997 ;-0.1349805 ;1.241347 ;0.4040033 ;-0.0007112477 ;-0.02579883 ;-0.4669428 ;0.8839109 ;-0.0007112477 ;-0.02579883 ;-0.4669428 ;0.8839109 ;
12.14 ;-0.1341453 ;1.243352 ;-3.805205 ;-0.1341453 ;1.243352 ;0.4047949 ;-0.004947166 ;-0.03005328 ;-0.4592938 ;0.8877621 ;-0.004947166 ;-0.03005328 ;-0.4592938 ;0.8877621 ;
12.16 ;-0.1333973 ;1.244698 ;-3.804891 ;-0.1333973 ;1.244698 ;0.405109 ;-0.006454073 ;-0.03324385 ;-0.452278 ;0.8912339 ;-0.006454073 ;-0.03324385 ;-0.452278 ;0.8912339 ;
12.18 ;-0.1318104 ;1.246978 ;-3.804583 ;-0.1318104 ;1.246978 ;0.4054167 ;-0.007451527 ;-0.03571474 ;-0.443193 ;0.8956835 ;-0.007451527 ;-0.03571474 ;-0.443193 ;0.8956835 ;
12.2 ;-0.1313625 ;1.24781 ;-3.804388 ;-0.1313625 ;1.24781 ;0.405612 ;-0.008563947 ;-0.03673815 ;-0.4401353 ;0.8971388 ;-0.008563947 ;-0.03673815 ;-0.4401353 ;0.8971388 ;
12.22 ;-0.1275637 ;1.252288 ;-3.80394 ;-0.1275637 ;1.252288 ;0.4060603 ;-0.008614891 ;-0.03906071 ;-0.417677 ;0.9077147 ;-0.008614891 ;-0.03906071 ;-0.417677 ;0.9077147 ;
